in:Option_ID,in:WWR_N,in:WWR_E,in:WWR_S,in:WWR_W,in:Vert_Overhang,in:Horiz_Overhang,in:Wall_R,in:Roof_R,in:Glazing_U,in:Operable_Percent,in:Scale,in:Length,in:SHGC,in:Infil,out:Peak_Cooling_Load,out:Peak_Heating_Load,out:Hours_above_acceptability,out:1,out:2,out:3,out:4,out:5,out:6,out:7,out:8,out:9,out:10,out:11
394,0.463339006,0.283052007,0.670699258,0.479986125,0.338925172,0.823146983,29.89976081,31.3001148,0.469643656,0.315471114,1.120187604,21.83660352,0.527247717,0.000274956,333172.9028,318469.275,81,80,81,84,84,83,84,84,83,81,80,80
395,0.759811955,0.332524062,0.575183251,0.689988792,0.983804939,1.626067998,13.17540445,13.7232667,0.659724852,0.067651709,1.111991613,25.15515981,0.609554751,0.000263213,481081.7671,625146.393,87,88,83,87,89,84,87,90,85,85,83,82
396,0.728753028,0.714229111,0.22510564,0.710237188,0.251987166,0.115817162,28.41961457,39.3059442,0.371838681,0.144889958,0.936391622,20.75920053,0.6634146,0.000259918,326872.1602,198916.717,88,88,86,89,94,86,89,88,88,89,89,84
397,0.243136745,0.236682126,0.735536643,0.279204933,0.787422136,1.52509031,26.99609175,12.10290791,0.884816935,0.255621295,0.863246491,20.4466332,0.392667978,0.000286154,185054.9789,313100.62,78,75,75,80,80,79,81,86,80,77,75,74
398,0.75738487,0.649072531,0.604819584,0.746175767,0.211868423,0.810514496,26.94718824,16.20119511,0.847674214,0.585546926,0.915898855,29.59784936,0.32488564,0.000375738,285267.5707,469315.9044,74,75,74,78,80,79,78,80,78,75,71,71
399,0.273832052,0.362968857,0.468522064,0.154740154,0.387539273,0.572565371,29.43596515,10.70011641,0.908337087,0.020884962,1.021965225,27.13302627,0.233886281,0.000481373,281533.3691,610418.328,79,88,73,79,87,79,83,98,83,77,80,73
400,0.231748588,0.261313305,0.499541504,0.732140156,0.322595648,0.374089755,19.61772489,30.1895437,0.326854157,0.285786279,1.140184657,28.66415878,0.640588242,0.000438225,436856.9124,432999.732,83,80,81,84,84,84,84,84,83,84,82,82
401,0.706623401,0.189334852,0.497441316,0.356976402,0.639863943,1.490558842,24.93025514,15.80269552,0.378933205,0.096259565,0.928917216,20.41624716,0.547884265,0.000320425,258323.3866,331245.776,84,86,82,85,89,84,86,89,85,83,82,81
402,0.661095288,0.760249772,0.603074724,0.727564147,0.944779278,1.0881221,10.09074868,35.91524962,0.764555047,0.192938813,1.009589486,29.9094705,0.592628006,0.000496945,414855.8831,611103.818,85,83,80,84,83,81,85,86,81,84,81,79
403,0.684556482,0.275752636,0.485623888,0.719087721,0.721319861,0.428476405,20.29816855,18.68211578,0.631590699,0.723095454,1.016484205,27.49534979,0.682879298,0.000367753,420340.8534,687931.3999,81,82,81,83,83,84,82,84,83,81,80,82
